"Priority","Category","Count","Rule","EventIDs","TopProcesses","TopParents","CommandLineExamples","TargetExamples","MITRE_ID","MITRE_Technique","NormalBehaviorHypothesis","NextCheck"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Logging: Log successful connections' is set to 'Yes'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Outbound connections' is set to 'Allow (default)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Downloaded Maps Manager (MapsBroker)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Link-Layer Topology Discovery Mapper (lltdsvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'PNRP Machine Name Publication Service (PNRPAutoReg)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Print Spooler (Spooler)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remote Desktop Configuration (SessionEnv)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft FTP Service (FTPSVC)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Peer Name Resolution Protocol (PNRPsvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Peer Networking Identity Manager (p2pimsvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Inbound connections' is set to 'Block (default)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"" and ""Require Integrity"" set for all NETLOGON and SYSVOL shares'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 3 = Prevent Wi-Fi when on Ethernet'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off access to the Store' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn On Virtualization Based Security: Secure Launch Configuration' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent device metadata retrieval from the Internet' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Process Creation' is set to include 'Success'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Removable Storage' is set to 'Success and Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Online Tips' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Settings: Display a notification' is set to 'No'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Settings: Apply local firewall rules' is set to 'No'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\publicfw.log'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Password Settings: Password Length' is set to 'Enabled: 15 or more'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (DisableSavePassword) Prevent the dial-up password from being saved' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds' is set to 'Enabled: 300,000 or 5 minutes (recommended)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Limits print driver installation to Administrators' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent non-admin users from installing packaged Windows apps' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Let Windows apps activate with voice while the system is locked' is set to 'Enabled: Force Deny'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure enhanced anti-spoofing' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable Windows NTP Server' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow a Windows app to share application data between users' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off cloud consumer account state content' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off location' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Block all consumer Microsoft account user authentication' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Join Microsoft MAPS' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Disable OneSettings Downloads' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","Wazuh agent stopped.",":1","","","","","T1562.001","Disable or Modify Tools","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Minimum password length' is set to '14 or more character(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow network connectivity during connected-standby (on battery)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Don't display last signed-in' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Machine account lockout threshold' is set to '10 or fewer invalid logon attempts, but not 0'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Number of previous logons to cache (in case domain controller is not available)' is set to '4 or fewer logon(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Scan all downloaded files and attachments' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow clipboard sharing with Windows Sandbox' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent users from modifying settings' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Manage preview builds' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow user control over installs' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn on PowerShell Script Block Logging' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow remote server management through WinRM' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enforce password history' is set to '24 or more password(s)'.: Status changed from failed to 'not applicable'",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Allow Local System to use computer identity for NTLM' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Do not allow LPT port redirection' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Set time limit for disconnected sessions' is set to 'Enabled: 1 minute'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Cortana above lock screen' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
